TrialNum,BlockNum,ParticipantID,RT,Performance,MedPupil_Pat,MedPupil_Fdb,AUCPupil_Pat,AUCPupil_Fdb,MaxPupil_Pat,MaxPupil_Fdb,MeanGazeX_Pat,MeanGazeY_Pat,MeanGazeX_Fdb,MeanGazeY_Fdb
113,3,VM_15_79,0.893,1,0.683185183882153,0.707181530186946,660.955133232061,644.250574314156,1.20082065417126,1.12540356578476,1093.59573560768,562.157675906183,1031.45011235955,468.904382022472
114,3,VM_15_79,0.989,1,0.503594824893441,-0.356713399619928,677.224183241121,-360.787113325733,1.56509859437627,1.19976529604571,966.756830601093,579.391621129326,1032.00429988975,514.157883131202
115,3,VM_15_79,1.15,1,0.637711590023172,1.00174299957944,499.837519635833,684.057978978815,1.4704957735286,1.52036308990617,933.569817400644,550.85574650913,1017.53882030178,455.708916323731
116,3,VM_15_79,0.692,1,0.237263127812349,0.700186129203479,341.964192651451,193.10894242614,1.63298150424762,1.59405404192529,954.68501529052,551.898012232416,1007.02208029197,555.282116788321
117,3,VM_15_79,0.877,1,0.790754816454374,-0.211183890247279,803.801042854415,-547.774831914605,1.51010064199411,0.618312759889729,960.582205240175,532.334934497817,1019.87779329609,524.685893854749
118,3,VM_15_79,0.917,0,0.484673432862985,0.673942767191905,283.685753795077,655.501571713384,1.21687160367839,1.54490076511795,951.554816513762,559.55,998.467246376811,540.829420289855
119,3,VM_15_79,1.053,1,0.22318585143045,0.840459390073265,455.629135122593,324.65709080212,1.29650541735659,1.43967910671054,958.574288724974,551.897260273973,1023.52131661442,508.227429467085
120,3,VM_15_79,0.823,1,0.904730086590323,-0.0896633992462566,729.993660087204,-415.30117966925,1.5863176745644,0.960705878839402,990.961835245047,559.430135557873,1053.44693251534,357.472903885481
121,3,VM_15_79,0.722,1,0.719211252229273,0.970155408419996,476.647772804992,738.366542688727,1.16002320913573,1.68846645868021,945.838011049724,573.316574585636,1004.45987654321,504.722345679012
122,3,VM_15_79,0.967,1,0.769160937077669,0.281491259243695,871.179783395804,267.088366667991,1.50611815134672,1.30175963567181,1043.08736616702,553.831798715203,988.027342549923,548.013824884793
123,3,VM_15_79,0.861,1,-0.0259267399617801,1.12695060294784,88.6884304335706,973.296865792942,1.56530583559441,1.51951497011078,951.617270788913,555.38144989339,969.380415430267,548.212611275964
124,3,VM_15_79,0.678,1,0.697288184961165,0.552775668315473,682.120688229482,497.415989130474,1.31803513146198,1.27533825154393,981.780347448426,577.784147665581,1008.38850574713,533.268234064786
125,3,VM_15_79,0.744,1,0.45141453465568,0.345463626366908,490.193627688483,258.63815642415,1.01370784605483,1.18644896090903,967.726547455296,553.433149931224,1105.66120300752,462.521203007519
126,3,VM_15_79,0.694,1,0.518304991295562,0.40245167556442,663.335722755359,413.148243332534,1.76279383447202,1.11625758861758,1091.17942430704,565.454051172708,1070.398676957,550.913120176406
127,3,VM_15_79,0.813,1,-0.38064588970528,0.0502177215518037,-329.799072167227,59.6793884103331,1.29240748454714,1.43445918613461,1001.16192946058,572.998443983403,1040.70597014925,535.668532338308
128,3,VM_15_79,1.114,1,0.390556456907405,0.970240280670766,532.724137447651,562.180036351087,1.36901179020468,1.62891398811177,1108.35821989529,558.616335078534,1057.55995762712,489.909745762712
129,3,VM_15_79,0.717,1,0.192042525625372,0.693078564273898,232.677376560548,765.157760889676,1.86368094548,1.28521206449488,1001.55691489362,582.564361702127,1083.58655555556,566.716666666666
130,3,VM_15_79,0.727,1,0.758695777720015,0.56660647725206,588.485285381051,511.481498416679,1.33329333738068,1.40010700710867,974.539465570401,566.504316546762,1059.3405,497.8962
